x	y
1.113900e-03	6.223786e+00
1.127474e-03	6.211687e+00
1.141214e-03	6.199588e+00
1.155122e-03	6.187489e+00
1.169198e-03	6.175390e+00
1.183447e-03	6.163292e+00
1.197869e-03	6.151193e+00
1.212467e-03	6.139095e+00
1.227242e-03	6.126997e+00
1.242198e-03	6.114899e+00
1.257336e-03	6.102801e+00
1.272659e-03	6.090704e+00
1.288168e-03	6.078606e+00
1.303866e-03	6.066509e+00
1.319756e-03	6.054412e+00
1.335839e-03	6.042316e+00
1.352118e-03	6.030219e+00
1.368596e-03	6.018123e+00
1.385274e-03	6.006026e+00
1.402156e-03	5.993931e+00
1.419243e-03	5.981835e+00
1.436538e-03	5.969739e+00
1.454045e-03	5.957644e+00
1.471765e-03	5.945549e+00
1.489700e-03	5.933454e+00
1.507854e-03	5.921359e+00
1.526230e-03	5.909265e+00
1.544829e-03	5.897171e+00
1.563655e-03	5.885076e+00
1.582711e-03	5.872983e+00
1.601998e-03	5.860889e+00
1.621521e-03	5.848796e+00
1.641282e-03	5.836703e+00
1.661283e-03	5.824610e+00
1.681528e-03	5.812517e+00
1.702020e-03	5.800425e+00
1.722762e-03	5.788333e+00
1.743756e-03	5.776241e+00
1.765007e-03	5.764149e+00
1.786516e-03	5.752058e+00
1.808287e-03	5.739967e+00
1.830324e-03	5.727876e+00
1.852629e-03	5.715786e+00
1.875206e-03	5.703695e+00
1.898058e-03	5.691605e+00
1.921189e-03	5.679516e+00
1.944601e-03	5.667426e+00
1.968299e-03	5.655337e+00
1.992286e-03	5.643248e+00
2.016565e-03	5.631160e+00
2.041140e-03	5.619071e+00
2.066014e-03	5.606983e+00
2.091191e-03	5.594896e+00
2.116676e-03	5.582808e+00
2.142471e-03	5.570721e+00
2.168580e-03	5.558635e+00
2.195007e-03	5.546548e+00
2.221756e-03	5.534462e+00
2.248832e-03	5.522376e+00
2.276237e-03	5.510291e+00
2.303977e-03	5.498206e+00
2.332054e-03	5.486121e+00
2.360473e-03	5.474036e+00
2.389239e-03	5.461952e+00
2.418356e-03	5.449869e+00
2.447827e-03	5.437785e+00
2.477657e-03	5.425702e+00
2.507851e-03	5.413620e+00
2.538413e-03	5.401537e+00
2.569348e-03	5.389455e+00
2.600659e-03	5.377374e+00
2.632352e-03	5.365293e+00
2.664431e-03	5.353212e+00
2.696901e-03	5.341131e+00
2.729767e-03	5.329051e+00
2.763033e-03	5.316972e+00
2.796705e-03	5.304893e+00
2.830787e-03	5.292814e+00
2.865284e-03	5.280735e+00
2.900202e-03	5.268657e+00
2.935545e-03	5.256580e+00
2.971319e-03	5.244503e+00
3.007529e-03	5.232426e+00
3.044180e-03	5.220350e+00
3.081278e-03	5.208274e+00
3.118828e-03	5.196199e+00
3.156835e-03	5.184124e+00
3.195306e-03	5.172050e+00
3.234245e-03	5.159976e+00
3.273660e-03	5.147902e+00
3.313554e-03	5.135829e+00
3.353935e-03	5.123757e+00
3.394807e-03	5.111685e+00
3.436178e-03	5.099613e+00
3.478053e-03	5.087542e+00
3.520438e-03	5.075472e+00
3.563340e-03	5.063402e+00
3.606764e-03	5.051332e+00
3.650718e-03	5.039263e+00
3.695208e-03	5.027195e+00
3.740239e-03	5.015127e+00
3.785820e-03	5.003059e+00
3.831955e-03	4.990993e+00
3.878653e-03	4.978926e+00
3.925921e-03	4.966861e+00
3.973764e-03	4.954796e+00
4.022190e-03	4.942731e+00
4.071206e-03	4.930667e+00
4.120820e-03	4.918604e+00
4.171038e-03	4.906541e+00
4.221869e-03	4.894479e+00
4.273318e-03	4.882418e+00
4.325395e-03	4.870357e+00
4.378106e-03	4.858297e+00
4.431460e-03	4.846237e+00
4.485464e-03	4.834178e+00
4.540126e-03	4.822120e+00
4.595454e-03	4.810062e+00
4.651457e-03	4.798005e+00
4.708141e-03	4.785949e+00
4.765517e-03	4.773893e+00
4.823592e-03	4.761839e+00
4.882375e-03	4.749784e+00
4.941874e-03	4.737731e+00
5.002098e-03	4.725678e+00
5.063056e-03	4.713626e+00
5.124757e-03	4.701575e+00
5.187209e-03	4.689524e+00
5.250423e-03	4.677474e+00
5.314407e-03	4.665425e+00
5.379171e-03	4.653377e+00
5.444724e-03	4.641330e+00
5.511076e-03	4.629283e+00
5.578237e-03	4.617237e+00
5.646216e-03	4.605192e+00
5.715024e-03	4.593148e+00
5.784670e-03	4.581105e+00
5.855164e-03	4.569062e+00
5.926518e-03	4.557020e+00
5.998742e-03	4.544980e+00
6.071845e-03	4.532940e+00
6.145840e-03	4.520901e+00
6.220736e-03	4.508862e+00
6.296545e-03	4.496825e+00
6.373278e-03	4.484789e+00
6.450945e-03	4.472753e+00
6.529560e-03	4.460719e+00
6.609132e-03	4.448686e+00
6.689674e-03	4.436653e+00
6.771198e-03	4.424621e+00
6.853715e-03	4.412591e+00
6.937238e-03	4.400561e+00
7.021778e-03	4.388533e+00
7.107349e-03	4.376505e+00
7.193962e-03	4.364479e+00
7.281631e-03	4.352453e+00
7.370369e-03	4.340429e+00
7.460188e-03	4.328405e+00
7.551101e-03	4.316383e+00
7.643123e-03	4.304362e+00
7.736265e-03	4.292342e+00
7.830543e-03	4.280323e+00
7.925970e-03	4.268305e+00
8.022560e-03	4.256289e+00
8.120327e-03	4.244273e+00
8.219285e-03	4.232259e+00
8.319449e-03	4.220246e+00
8.420834e-03	4.208234e+00
8.523454e-03	4.196223e+00
8.627325e-03	4.184214e+00
8.732462e-03	4.172206e+00
8.838880e-03	4.160199e+00
8.946595e-03	4.148193e+00
9.055622e-03	4.136189e+00
9.165978e-03	4.124186e+00
9.277679e-03	4.112184e+00
9.390742e-03	4.100184e+00
9.505182e-03	4.088185e+00
9.621016e-03	4.076188e+00
9.738263e-03	4.064191e+00
9.856938e-03	4.052197e+00
9.977059e-03	4.040203e+00
1.009864e-02	4.028212e+00
1.022171e-02	4.016221e+00
1.034628e-02	4.004232e+00
1.047236e-02	3.992245e+00
1.059998e-02	3.980259e+00
1.072916e-02	3.968275e+00
1.085991e-02	3.956292e+00
1.099226e-02	3.944311e+00
1.112621e-02	3.932331e+00
1.126180e-02	3.920353e+00
1.139904e-02	3.908377e+00
1.153796e-02	3.896402e+00
1.167857e-02	3.884429e+00
1.182089e-02	3.872458e+00
1.196494e-02	3.860488e+00
1.211075e-02	3.848520e+00
1.225834e-02	3.836554e+00
1.240772e-02	3.824590e+00
1.255893e-02	3.812627e+00
1.271198e-02	3.800666e+00
1.286689e-02	3.788708e+00
1.302370e-02	3.776750e+00
1.318241e-02	3.764795e+00
1.334306e-02	3.752842e+00
1.350566e-02	3.740891e+00
1.367025e-02	3.728941e+00
1.383684e-02	3.716994e+00
1.400546e-02	3.705049e+00
1.417614e-02	3.693105e+00
1.434890e-02	3.681164e+00
1.452376e-02	3.669225e+00
1.470075e-02	3.657288e+00
1.487990e-02	3.645353e+00
1.506124e-02	3.633420e+00
1.524478e-02	3.621489e+00
1.543056e-02	3.609561e+00
1.561861e-02	3.597635e+00
1.580894e-02	3.585711e+00
1.600160e-02	3.573789e+00
1.619660e-02	3.561869e+00
1.639398e-02	3.549952e+00
1.659377e-02	3.538038e+00
1.679598e-02	3.526125e+00
1.700067e-02	3.514216e+00
1.720785e-02	3.502308e+00
1.741755e-02	3.490403e+00
1.762981e-02	3.478501e+00
1.784465e-02	3.466601e+00
1.806212e-02	3.454704e+00
1.828223e-02	3.442809e+00
1.850503e-02	3.430917e+00
1.873054e-02	3.419028e+00
1.895880e-02	3.407141e+00
1.918984e-02	3.395257e+00
1.942370e-02	3.383376e+00
1.966040e-02	3.371497e+00
1.989999e-02	3.359622e+00
2.014250e-02	3.347749e+00
2.038797e-02	3.335879e+00
2.063643e-02	3.324012e+00
2.088791e-02	3.312148e+00
2.114246e-02	3.300287e+00
2.140012e-02	3.288429e+00
2.166091e-02	3.276575e+00
2.192488e-02	3.264723e+00
2.219207e-02	3.252874e+00
2.246251e-02	3.241029e+00
2.273625e-02	3.229187e+00
2.301332e-02	3.217348e+00
2.329377e-02	3.205512e+00
2.357764e-02	3.193680e+00
2.386497e-02	3.181851e+00
2.415580e-02	3.170026e+00
2.445018e-02	3.158204e+00
2.474814e-02	3.146385e+00
2.504973e-02	3.134570e+00
2.535500e-02	3.122759e+00
2.566399e-02	3.110951e+00
2.597674e-02	3.099147e+00
